title,price,location,surface,rooms,baths,link,city,neighborhood,price_meter,price_category
Appartement à vendre 61 m² à Marrakech,1530000,"Appartements dans Marrakech, Guéliz",61,1,1,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_61_m%C2%B2_%C3%A0_Marrakech_57656693.htm,Marrakech,Guéliz,25081,High
Appartement à vendre 96 m² à Marrakech,1350000,"Appartements dans Marrakech, Hay Izdihar",100,2,2,https://www.avito.ma/fr/hay_izdihar/appartements/Appartement_%C3%A0_vendre_96_m%C2%B2_%C3%A0_Marrakech_57814917.htm,Marrakech,Hay Izdihar,13500,High
Appartement 95m2 vendables -Palmier,1750000,"Appartements dans Casablanca, Palmier",95,2,2,https://www.avito.ma/fr/palmier/appartements/Appartement_95m2_vendables__Palmier_57820947.htm,Casablanca,Palmier,18421,High
Vente Appartement 4 pièces de 190 m2 à Casablanca,3800000,"Appartements dans Casablanca, Racine",190,3,2,https://www.avito.ma/fr/racine/appartements/Vente_Appartement_4_pi%C3%A8ces_de_190_m2_%C3%A0_Casablanca_57786014.htm,Casablanca,Racine,20000,High
Vente Appartement 4 pièces de 162 m2 à Casablanca,1741500,"Appartements dans Casablanca, Sidi Belyout",162,3,2,https://www.avito.ma/fr/sidi_belyout/appartements/Vente_Appartement_4_pi%C3%A8ces_de_162_m2_%C3%A0_Casablanca_56841633.htm,Casablanca,Sidi Belyout,10750,High
Vente Appartement 4 pièces de 126 m2 à Casablanca,1800000,"Appartements dans Casablanca, Gauthier",126,3,1,https://www.avito.ma/fr/gauthier/appartements/Vente_Appartement_4_pi%C3%A8ces_de_126_m2_%C3%A0_Casablanca_54225633.htm,Casablanca,Gauthier,14285,High
Des studios à vendre,990000,"Appartements dans Casablanca, Val Fleuri",42,1,1,https://www.avito.ma/fr/val_fleuri/appartements/Des_studios_%C3%A0_vendre_57840740.htm,Casablanca,Val Fleuri,23571,Medium
"Excellent appartement à vendre, Avenue Hassan II",510000,"Appartements dans Berrechid, Toute la ville",100,2,1,https://www.avito.ma/fr/berrechid/appartements/Excellent_appartement_%C3%A0_vendre__Avenue_Hassan_II_51145031.htm,Berrechid,Toute la ville,5100,Medium
Appartement 91 m² – 7e étage – Malabata Tanger,1700000,"Appartements dans Tanger, Malabata",91,2,2,https://www.avito.ma/fr/malabata/appartements/Appartement_91_m%C2%B2___7e_%C3%A9tage___Malabata_Tanger_57755910.htm,Tanger,Malabata,18681,High
Vente Appartement de 98 m2 à Marrakech,1300000,"Appartements dans Marrakech, Allal El Fassi",98,3,2,https://www.avito.ma/fr/allal_el_fassi/appartements/Vente_Appartement_de_98_m2_%C3%A0_Marrakech_57765242.htm,Marrakech,Allal El Fassi,13265,High
